offset	total	subst	del	ins
360	265463	198	668	767	
361	263979	201	642	885	
362	262565	207	588	810	
363	261076	199	593	810	
364	259532	203	612	795	
365	257975	181	590	775	
366	256309	211	596	857	
367	254612	213	593	818	
368	252762	218	576	778	
369	250812	191	544	795	
370	248837	185	557	756	
371	246715	192	578	757	
372	244486	170	554	738	
373	242189	202	543	714	
374	239711	172	535	707	
375	237093	178	529	687	
376	234216	150	495	687	
377	231192	136	469	698	
378	227960	156	491	688	
379	224588	170	451	667	
380	220954	142	460	643	
381	217162	148	443	565	
382	213034	136	432	616	
383	208789	150	425	597	
384	204342	163	392	523	
385	199695	132	401	579	
386	194674	138	366	541	
387	189527	136	355	503	
388	184205	127	331	486	
389	178653	112	325	436	
390	173096	104	312	441	
391	167448	103	280	440	
392	161569	106	281	416	
393	155814	113	253	408	
394	150078	101	274	378	
395	144269	73	237	311	
396	138413	82	215	335	
397	132544	78	225	343	
398	126759	86	206	287	
399	121027	61	203	266	
400	115273	81	191	276	
401	109707	60	172	224	
402	104254	59	143	240	
403	98833	61	153	200	
404	93643	48	135	206	
405	88532	53	127	220	
406	83501	56	120	180	
407	78559	43	101	167	
408	73736	42	110	165	
409	69138	38	89	161	
410	64789	33	77	140	
411	60502	26	70	123	
412	56442	20	61	111	
413	52407	22	58	107	
414	48568	21	42	89	
415	44709	22	46	77	
416	41127	18	34	67	
417	37705	11	30	69	
418	34278	7	36	67	
419	31169	13	25	50	
420	28143	11	18	33	
421	25301	12	22	46	
422	22654	11	20	28	
423	20161	5	13	30	
424	17851	6	11	23	
425	15693	4	9	15	
426	13753	5	6	15	
427	11914	5	3	18	
428	10285	1	4	11	
429	8822	2	6	5	
430	7492	2	6	5	
431	6355	1	4	2	
432	5349	1	0	0	
433	4485	2	1	1	
434	3687	1	1	3	
435	3045	2	1	2	
436	2493	0	0	2	
437	2033	0	1	1	
438	1694	0	0	1	
439	1395	0	0	2	
440	1152	0	1	0	
441	956	1	0	1	
442	767	0	0	0	
443	631	0	0	0	
444	542	0	1	0	
445	448	0	0	0	
446	391	0	0	1	
447	339	0	0	0	
448	296	0	0	0	
449	261	0	0	0	
450	226	0	0	0	
451	203	0	0	1	
452	183	0	0	1	
453	173	0	0	1	
454	163	0	0	1	
455	154	0	0	0	
456	148	0	0	0	
457	140	0	0	0	
458	133	0	0	0	
459	127	0	0	0	
460	118	0	0	0	
461	110	0	1	1	
462	107	0	0	0	
463	102	0	0	0	
464	97	0	0	0	
465	91	0	0	0	
466	87	0	0	0	
467	84	0	0	0	
468	81	0	0	0	
469	77	0	0	0	
470	73	0	0	0	
471	66	0	0	0	
472	61	0	0	0	
473	60	0	0	0	
474	57	0	0	0	
475	54	0	0	0	
476	52	0	0	0	
477	51	0	0	0	
478	47	0	0	0	
479	46	0	0	0	
480	45	0	0	0	
481	45	0	0	0	
482	42	0	0	0	
483	39	0	0	0	
484	37	0	0	0	
485	37	0	0	0	
486	36	0	0	0	
487	34	0	0	0	
488	32	0	0	0	
489	32	0	0	0	
490	32	0	0	0	
491	31	0	0	0	
492	30	0	0	0	
493	28	0	0	0	
494	27	0	0	0	
495	25	0	0	0	
496	24	0	0	0	
497	23	0	0	0	
498	23	0	0	0	
499	23	0	0	0	
500	23	0	0	0	
501	22	0	0	0	
502	22	0	0	0	
503	21	0	0	0	
504	18	0	0	0	
505	18	0	0	0	
506	18	0	0	0	
507	17	0	0	0	
508	16	0	0	0	
509	16	0	0	0	
510	15	0	0	0	
511	15	0	0	0	
512	15	0	0	0	
513	15	0	0	0	
514	15	0	0	0	
515	14	0	0	0	
516	14	0	0	0	
517	12	0	0	0	
518	11	0	0	0	
519	11	0	0	0	
520	11	0	0	0	
521	11	0	0	0	
522	10	0	0	0	
523	10	0	0	0	
524	10	0	0	0	
525	10	0	0	0	
526	10	0	0	0	
527	10	0	0	0	
528	9	0	0	0	
529	9	0	0	0	
530	9	0	0	0	
531	8	0	0	0	
532	8	0	0	0	
533	7	0	0	0	
534	5	0	0	0	
535	5	0	0	0	
536	5	0	0	0	
537	5	0	0	0	
538	4	0	0	0	
539	4	0	0	0	
540	4	0	0	0	
541	4	0	0	0	
542	4	0	0	0	
543	4	0	0	0	
544	4	0	0	0	
545	4	0	0	0	
546	4	0	0	0	
547	4	0	0	0	
548	4	0	0	0	
549	4	0	0	0	
550	4	0	0	0	
551	4	0	0	0	
552	4	0	0	0	
553	4	0	0	0	
554	4	0	0	0	
555	3	0	0	0	
556	3	0	0	0	
557	3	0	0	0	
558	3	0	0	0	
559	3	0	0	0	
560	3	0	0	0	
561	3	0	0	0	
562	3	0	0	0	
563	3	0	0	0	
564	3	0	0	0	
565	3	0	0	0	
566	3	0	0	0	
567	3	0	0	0	
568	3	0	0	0	
569	3	0	0	0	
570	2	0	0	0	
571	2	0	0	0	
572	2	0	0	0	
573	2	0	0	0	
574	2	0	0	0	
575	2	0	0	0	
576	2	0	0	0	
577	2	0	0	0	
578	2	0	0	0	
579	2	0	0	0	
580	2	0	0	0	
581	2	0	0	0	
582	2	0	0	0	
583	2	0	0	0	
584	2	0	0	0	
585	2	0	0	0	
586	2	0	0	0	
587	2	0	0	0	
588	2	0	0	0	
589	2	0	0	0	
590	2	0	0	0	
591	2	0	0	0	
592	2	0	0	0	
593	2	0	0	0	
594	2	0	0	0	
595	2	0	0	0	
596	2	0	0	0	
597	2	0	0	0	
598	2	0	0	0	
599	2	0	0	0	
600	2	0	0	0	
601	2	0	0	0	
602	2	0	0	0	
603	2	0	0	0	
604	2	0	0	0	
605	2	0	0	0	
606	2	0	0	0	
607	2	0	0	0	
608	2	0	0	0	
609	2	0	0	0	
610	2	0	0	0	
611	2	0	0	0	
612	2	0	0	0	
613	2	0	0	0	
614	2	0	0	0	
615	2	0	0	0	
616	2	0	0	0	
617	2	0	0	0	
618	2	0	0	0	
619	2	0	0	0	
620	2	0	0	0	
621	2	0	0	0	
622	2	0	0	0	
623	2	0	0	0	
624	2	0	0	0	
625	2	0	0	0	
626	2	0	0	0	
627	2	0	0	0	
628	2	0	0	0	
629	2	0	0	0	
630	2	0	0	0	
631	2	0	0	0	
632	1	0	0	0	
633	1	0	0	0	
634	1	0	0	0	
