offset	total	subst	del	ins
349	275288	27	76	77	
350	274097	27	84	64	
351	272951	39	95	55	
352	271766	33	90	69	
353	270616	41	69	73	
354	269370	27	73	64	
355	268142	27	83	68	
356	266867	30	80	57	
357	265513	30	80	76	
358	264148	37	93	52	
359	262718	31	78	69	
360	261239	41	86	85	
361	259760	31	69	75	
362	258266	41	78	65	
363	256693	41	72	78	
364	255036	27	73	75	
365	253429	38	55	75	
366	251623	36	75	75	
367	249768	33	83	70	
368	247861	35	94	63	
369	245790	39	80	84	
370	243632	40	69	76	
371	241403	49	67	82	
372	239079	36	67	76	
373	236578	30	64	62	
374	233886	41	66	81	
375	231023	41	85	80	
376	227904	42	61	93	
377	224578	39	69	72	
378	221146	37	64	89	
379	217499	49	59	76	
380	213611	40	60	53	
381	209499	36	61	68	
382	205196	29	68	82	
383	200786	39	45	80	
384	195955	37	57	60	
385	190948	34	37	78	
386	185812	31	34	72	
387	180460	26	51	60	
388	174943	21	51	58	
389	169354	38	27	67	
390	163776	26	40	83	
391	158101	21	37	49	
392	152308	25	36	47	
393	146518	26	41	57	
394	140685	21	22	53	
395	134917	20	31	51	
396	129201	22	27	48	
397	123410	24	24	52	
398	117671	24	20	36	
399	112046	17	25	43	
400	106549	27	26	40	
401	101093	21	18	36	
402	95949	21	25	39	
403	90754	15	21	28	
404	85747	18	12	32	
405	80799	13	18	41	
406	75913	13	16	34	
407	71329	18	20	27	
408	66696	12	16	32	
409	62411	7	7	17	
410	58289	13	7	21	
411	54275	7	10	27	
412	50390	9	7	25	
413	46441	9	10	22	
414	42809	12	6	14	
415	39311	5	6	20	
416	36025	6	4	17	
417	32818	5	5	9	
418	29792	4	10	11	
419	26857	4	3	8	
420	24172	3	3	2	
421	21617	3	6	8	
422	19152	5	2	10	
423	16910	3	1	8	
424	14851	2	1	2	
425	12987	2	2	2	
426	11209	1	3	7	
427	9611	0	1	4	
428	8162	0	1	2	
429	6907	0	1	2	
430	5804	0	1	0	
431	4838	1	0	1	
432	4014	1	1	0	
433	3285	0	0	0	
434	2685	0	1	2	
435	2179	0	0	0	
436	1742	0	0	2	
437	1406	0	0	0	
438	1130	0	0	1	
439	909	0	0	1	
440	732	0	0	0	
441	579	0	0	0	
442	470	0	0	0	
443	395	0	1	0	
444	321	0	0	0	
445	268	0	0	0	
446	223	0	0	0	
447	190	0	0	0	
448	165	0	0	0	
449	151	0	0	0	
450	134	0	0	0	
451	118	0	0	0	
452	103	0	0	0	
453	96	0	0	0	
454	88	0	0	0	
455	87	0	0	0	
456	84	0	0	0	
457	82	0	0	0	
458	75	0	0	0	
459	73	0	0	0	
460	70	0	0	0	
461	70	0	0	0	
462	68	0	0	0	
463	65	0	0	0	
464	62	0	0	0	
465	58	0	0	0	
466	55	0	0	0	
467	54	0	0	0	
468	49	0	0	0	
469	46	0	0	0	
470	46	0	0	0	
471	40	0	0	0	
472	38	0	0	0	
473	38	0	0	0	
474	37	0	0	0	
475	36	0	0	0	
476	34	0	0	0	
477	32	0	0	0	
478	30	0	0	0	
479	29	0	0	0	
480	27	0	0	0	
481	26	0	0	0	
482	24	0	0	0	
483	23	0	0	0	
484	23	0	0	0	
485	23	0	0	0	
486	22	0	0	0	
487	21	0	0	0	
488	21	0	0	0	
489	21	0	0	0	
490	21	0	0	0	
491	20	0	0	0	
492	20	0	0	0	
493	19	0	0	0	
494	18	0	0	0	
495	17	0	0	0	
496	16	0	0	0	
497	16	0	0	0	
498	16	0	0	0	
499	15	0	0	0	
500	15	0	0	0	
501	15	0	0	0	
502	15	0	0	0	
503	14	0	0	0	
504	13	0	0	0	
505	13	0	0	0	
506	13	0	0	0	
507	13	0	0	0	
508	13	0	0	0	
509	13	0	0	0	
510	13	0	0	0	
511	13	0	0	0	
512	12	0	0	0	
513	12	0	0	0	
514	12	0	0	0	
515	11	0	0	0	
516	11	0	0	0	
517	10	0	0	0	
518	9	0	0	0	
519	9	0	0	0	
520	9	0	0	0	
521	8	0	0	0	
522	8	0	0	0	
523	8	0	0	0	
524	7	0	0	0	
525	6	0	0	0	
526	6	0	0	0	
527	6	0	0	0	
528	6	0	0	0	
529	6	0	0	0	
530	6	0	0	0	
531	6	0	0	0	
532	6	0	0	0	
533	6	0	0	0	
534	6	0	0	0	
535	6	0	0	0	
536	6	0	0	0	
537	6	0	0	0	
538	6	0	0	0	
539	5	0	0	0	
540	5	0	0	0	
541	5	0	0	0	
542	5	0	0	0	
543	5	0	0	0	
544	5	0	0	0	
545	5	0	0	0	
546	5	0	0	0	
547	5	0	0	0	
548	5	0	0	0	
549	5	0	0	0	
550	5	0	0	0	
551	5	0	0	0	
552	5	0	0	0	
553	5	0	0	0	
554	5	0	0	0	
555	5	0	0	0	
556	4	0	0	0	
557	3	0	0	0	
558	3	0	0	0	
559	3	0	0	0	
560	3	0	0	0	
561	3	0	0	0	
562	3	0	0	0	
563	3	0	0	0	
564	3	0	0	0	
565	3	0	0	0	
566	3	0	0	0	
567	3	0	0	0	
568	3	0	0	0	
569	2	0	0	0	
570	1	0	0	0	
571	1	0	0	0	
572	1	0	0	0	
573	1	0	0	0	
574	1	0	0	0	
575	1	0	0	0	
576	1	0	0	0	
577	1	0	0	0	
578	1	0	0	0	
579	1	0	0	0	
580	1	0	0	0	
581	1	0	0	0	
582	1	0	0	0	
583	1	0	0	0	
584	1	0	0	0	
585	1	0	0	0	
586	1	0	0	0	
587	1	0	0	0	
588	1	0	0	0	
589	1	0	0	0	
590	1	0	0	0	
591	1	0	0	0	
592	1	0	0	0	
593	1	0	0	0	
594	1	0	0	0	
595	1	0	0	0	
596	1	0	0	0	
597	1	0	0	0	
598	1	0	0	0	
599	1	0	0	0	
600	1	0	0	0	
601	1	0	0	0	
602	1	0	0	0	
603	1	0	0	0	
604	1	0	0	0	
605	1	0	0	0	
606	1	0	0	0	
607	1	0	0	0	
608	1	0	0	0	
609	1	0	0	0	
610	1	0	0	0	
611	1	0	0	0	
612	1	0	0	0	
613	1	0	0	0	
614	1	0	0	0	
615	1	0	0	0	
616	1	0	0	0	
617	1	0	0	0	
618	1	0	0	0	
619	1	0	0	0	
620	1	0	0	0	
621	1	0	0	0	
622	1	0	0	0	
623	1	0	0	0	
624	1	0	0	0	
625	1	0	0	0	
626	1	0	0	0	
627	1	0	0	0	
628	1	0	0	0	
629	1	0	0	0	
630	1	0	0	0	
631	1	0	0	0	
632	1	0	0	0	
633	1	0	0	0	
634	1	0	0	0	
